"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Description"
"U2","TPA3130D2DAPR","Top","TSSOP32-DAP","-2.5000","0.0000","0","2x15W Filter-Free Class-D Stereo Amplifier With AM Avoidance"
"R13","47k","Top","RES_0603","15.7500","-5.2500","90","Resistor SMD 0603"
"R12","3R3","Top","RES_0603","14.2500","-6.7500","270","Resistor SMD 0603"
"R11","3R3","Top","RES_0603","14.2500","-3.7500","270","Resistor SMD 0603"
"R10","47k","Top","RES_0603","15.7500","5.2500","90","Resistor SMD 0603"
"R9","3R3","Top","RES_0603","14.2500","3.7500","270","Resistor SMD 0603"
"R8","3R3","Top","RES_0603","14.2500","6.7500","270","Resistor SMD 0603"
"R1","3R3","Top","RES_0603","3.2500","12.5000","270","Resistor SMD 0603"
"R7","47k","Top","RES_0603","-8.5000","-5.0000","270","Resistor SMD 0603"
"R5","5k6","Top","RES_0603","-12.5000","0.0000","180","Resistor SMD 0603"
"R3","47k","Top","RES_0603","-15.0000","-3.5000","90","Resistor SMD 0603"
"R2","47k","Top","RES_0603","-15.0000","3.5000","90","Resistor SMD 0603"
"R6","47k","Top","RES_0603","-8.5000","5.0000","270","Resistor SMD 0603"
"L4","10u","Top","ASPI-4030S","8.0000","-7.5000","0","Power Inductor SMD ASPI-4030S Series"
"L3","10u","Top","ASPI-4030S","8.0000","-3.0000","0","Power Inductor SMD ASPI-4030S Series"
"L2","10u","Top","ASPI-4030S","8.0000","3.0000","0","Power Inductor SMD ASPI-4030S Series"
"L1","10u","Top","ASPI-4030S","8.0000","7.5000","0","Power Inductor SMD ASPI-4030S Series"
"C30","10n","Top","CAP_0603","13.5000","-8.7500","0","Capacitor SMD 0603"
"C26","10n","Top","CAP_0603","13.5000","-1.5000","180","Capacitor SMD 0603"
"C29","1n","Top","CAP_0603","12.7500","-6.7500","90","Capacitor SMD 0603"
"C25","1n","Top","CAP_0603","12.7500","-3.7500","90","Capacitor SMD 0603"
"C28","1u","Top","CAP_0603","11.2500","-6.7500","90","Capacitor SMD 0603"
"C24","1u","Top","CAP_0603","11.2500","-3.7500","90","Capacitor SMD 0603"
"C27","220n","Top","CAP_0603","4.0000","-4.2500","270","Capacitor SMD 0603"
"C23","220n","Top","CAP_0603","4.0000","-1.5000","90","Capacitor SMD 0603"
"C22","10n","Top","CAP_0603","13.5000","1.5000","0","Capacitor SMD 0603"
"C18","10n","Top","CAP_0603","13.5000","8.7500","180","Capacitor SMD 0603"
"C21","1n","Top","CAP_0603","12.7500","3.7500","90","Capacitor SMD 0603"
"C17","1n","Top","CAP_0603","12.7500","6.7500","90","Capacitor SMD 0603"
"C20","1u","Top","CAP_0603","11.2500","3.7500","90","Capacitor SMD 0603"
"C16","1u","Top","CAP_0603","11.2500","6.7500","90","Capacitor SMD 0603"
"C19","220n","Top","CAP_0603","4.0000","1.5000","270","Capacitor SMD 0603"
"C15","220n","Top","CAP_0603","4.0000","4.2500","90","Capacitor SMD 0603"
"C13","1u","Top","CAP_0603","-9.2500","1.5000","180","Capacitor SMD 0603"
"C12","1u","Top","CAP_TANT_0603","-12.5000","-4.2500","180","Capacitor SMD Tantalum 0603"
"C11","1u","Top","CAP_TANT_0603","-12.5000","-2.7500","180","Capacitor SMD Tantalum 0603"
"C10","1u","Top","CAP_TANT_0603","-12.5000","2.7500","180","Capacitor SMD Tantalum 0603"
"C9","1u","Top","CAP_TANT_0603","-12.5000","4.2500","180","Capacitor SMD Tantalum 0603"
"C8","220n","Top","CAP_0603","4.7500","12.5000","90","Capacitor SMD 0603"
"C7","220n","Top","CAP_0603","3.2500","6.7500","180","Capacitor SMD 0603"
"C6","220n","Top","CAP_0603","3.2500","-8.5000","180","Capacitor SMD 0603"
"C5","220n","Top","CAP_0603","3.2500","-6.7500","180","Capacitor SMD 0603"
"C4","220n","Top","CAP_0603","0.2500","-6.7500","0","Capacitor SMD 0603"
"C3","220n","Top","CAP_0603","0.2500","6.7500","0","Capacitor SMD 0603"
"C2","220u","Top","CAP_AE_SMD_D6MM3_H8MM","-2.5000","11.7500","180","Capacitor SMD Aluminium Electrolytic 6.3mm Diameter 8mm Height"
"C1","220u","Top","CAP_AE_SMD_D6MM3_H8MM","-2.5000","-11.7500","180","Capacitor SMD Aluminium Electrolytic 6.3mm Diameter 8mm Height"
